lat,lon
3.897061029999999704e+01,-7.693672899999999970e+01
3.897274120000000153e+01,-7.693825920000000451e+01
3.897365080000000148e+01,-7.694618710000000306e+01
3.897766719999999907e+01,-7.693871900000000608e+01
3.897812780000000288e+01,-7.692911229999999989e+01
3.898097010000000040e+01,-7.693613440000000026e+01
3.898224239999999696e+01,-7.693770589999999743e+01
3.898244389999999981e+01,-7.694357039999999870e+01
3.898262729999999721e+01,-7.694494469999999353e+01
3.898319769999999806e+01,-7.693342339999999524e+01
3.898450710000000186e+01,-7.694887610000000677e+01
3.898450840000000284e+01,-7.694176910000000191e+01
3.898518630000000229e+01,-7.694271329999999409e+01
3.898538779999999804e+01,-7.693662229999999624e+01
3.898603680000000082e+01,-7.693412460000000408e+01
3.898612380000000144e+01,-7.694893659999999613e+01
3.898659409999999781e+01,-7.693598790000000065e+01
3.898797700000000077e+01,-7.694584419999999625e+01
3.898948370000000097e+01,-7.693721969999999999e+01
3.898990830000000329e+01,-7.694081350000000441e+01
3.899016749999999831e+01,-7.694949699999999382e+01
3.899056780000000089e+01,-7.693417230000000018e+01
3.899246399999999824e+01,-7.694428310000000693e+01
3.899263899999999694e+01,-7.693282480000000589e+01
3.899285590000000212e+01,-7.694557480000000282e+01
3.899285650000000203e+01,-7.694919950000000597e+01
3.899294379999999904e+01,-7.693328329999999937e+01
3.899325429999999670e+01,-7.694614780000000565e+01
3.899370530000000201e+01,-7.693714300000000605e+01
3.899472389999999677e+01,-7.692654430000000332e+01
3.899518479999999698e+01,-7.694256609999999341e+01
3.899576299999999662e+01,-7.693143899999999746e+01
3.899630100000000255e+01,-7.694024299999999528e+01
3.900232760000000098e+01,-7.694204100000000324e+01
3.900452640000000315e+01,-7.693048129999999674e+01
3.901055780000000084e+01,-7.691386230000000523e+01
3.901372779999999807e+01,-7.692132229999999993e+01
